sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
50,D1,Q078,44.809,43.797,1.0231066054752609,2.2584748599611695,0.40924264219010437,Similar (+/-5%)
50,D1,Q079,18.862,17.507,1.0773976123836178,7.183755699289561,0.4309590449534471,N5 mai rapid
50,D1,Q080,15.044,1.497,10.049432197728791,90.04918904546663,4.019772879091517,N5 mai rapid
50,D1,Q081,2.898,0.504,5.75,82.6086956521739,2.3,N5 mai rapid
50,D1,Q082,17.929,17.889,1.0022360109564536,0.2231022365999172,0.40089440438258145,Similar (+/-5%)
50,D1,Q083,7.074,7.264,0.9738436123348017,-2.6858919988691037,0.3895374449339207,Similar (+/-5%)
50,D1,Q084,3.001,2.629,1.1414986686953215,12.395868043985335,0.4565994674781286,N5 mai rapid
50,D1,Q085,12.657,2.806,4.510691375623663,77.8304495536067,1.8042765502494653,N5 mai rapid
50,D1,Q086,35.799,33.846,1.0577025350115228,5.455459649710894,0.4230810140046091,N5 mai rapid
50,D1,Q087,16.468,23.537,0.6996643582444662,-42.92567403449113,0.27986574329778646,N2 mai rapid
50,D1,Q088,16.263,16.641,0.9772850189291511,-2.3242944106253245,0.39091400757166045,Similar (+/-5%)
50,D1,Q089,10.86,11.956,0.9083305453328873,-10.092081031307552,0.3633322181331549,N2 mai rapid
50,D1,Q090,16.318,14.704,1.109766050054407,9.890918004657436,0.44390642002176284,N5 mai rapid
50,D1,Q091,5.965,1.027,5.808179162609543,82.78290025146688,2.323271665043817,N5 mai rapid
50,D1,Q092,133.843,142.054,0.942198037366072,-6.134799728039578,0.3768792149464288,N2 mai rapid
50,D1,Q093,126.94,132.523,0.9578714638213744,-4.398140853946746,0.3831485855285498,Similar (+/-5%)
50,D1,Q094,6.137,6.148,0.9982108002602472,-0.17924067133778918,0.39928432010409887,Similar (+/-5%)
50,D1,Q095,4.912,4.925,0.9973604060913706,-0.26465798045602407,0.39894416243654823,Similar (+/-5%)
50,D1,Q096,29.631,28.845,1.0272490899635986,2.6526273159866403,0.41089963598543944,Similar (+/-5%)
50,D1,Q097,11.333,11.044,1.0261680550525172,2.550075002205945,0.4104672220210069,Similar (+/-5%)
50,D1,Q098,8.865,8.688,1.0203729281767955,1.9966159052453425,0.4081491712707182,Similar (+/-5%)
50,D1,Q100,16.785,14.365,1.1684650191437522,14.417634792969913,0.4673860076575009,N5 mai rapid
50,D1,Q102,36.442,36.208,1.0064626601855944,0.642116239503874,0.4025850640742378,Similar (+/-5%)
50,D1,Q104,104.999,107.764,0.9743420808433243,-2.633358412937267,0.3897368323373297,Similar (+/-5%)
