mtry,min_n,.metric,.estimator,mean,n,std_err,.config
6,37,rmse,standard,0.5300205990133111,5,0.013487600050769008,Preprocessor1_Model09
6,37,rsq,standard,0.6806652285470083,5,0.02004080461447645,Preprocessor1_Model09
28,20,mae,standard,0.33292824344225486,5,0.008905238513363126,Preprocessor1_Model10
28,20,rmse,standard,0.4388241280414842,5,0.015840177468954924,Preprocessor1_Model10
28,20,rsq,standard,0.744260334098436,5,0.01630164961749313,Preprocessor1_Model10
29,26,mae,standard,0.3488898240872135,5,0.008871322753758138,Preprocessor1_Model11
29,26,rmse,standard,0.45625955771236953,5,0.015163910149255645,Preprocessor1_Model11
29,26,rsq,standard,0.7232850961705675,5,0.016150383731098544,Preprocessor1_Model11
10,40,mae,standard,0.3918281497600281,5,0.010176544040134147,Preprocessor1_Model12
10,40,rmse,standard,0.502495864151534,5,0.016409187701092183,Preprocessor1_Model12
10,40,rsq,standard,0.6841126742134135,5,0.02138990220657326,Preprocessor1_Model12
30,27,mae,standard,0.35103494320943573,5,0.008803699822689984,Preprocessor1_Model13
30,27,rmse,standard,0.4587971402724141,5,0.015245676561244346,Preprocessor1_Model13
30,27,rsq,standard,0.7199557522090191,5,0.01627224112768488,Preprocessor1_Model13
36,10,mae,standard,0.2951798354269621,5,0.007598514660635099,Preprocessor1_Model14
36,10,rmse,standard,0.3999310816413911,5,0.014557804125469927,Preprocessor1_Model14
36,10,rsq,standard,0.7862224619574726,5,0.012808496122193652,Preprocessor1_Model14
9,8,mae,standard,0.3312049269216245,5,0.008559849324751654,Preprocessor1_Model15
9,8,rmse,standard,0.43251686449854526,5,0.01573660459551866,Preprocessor1_Model15
9,8,rsq,standard,0.7695514842689515,5,0.01637052137160595,Preprocessor1_Model15
27,35,mae,standard,0.36944892719361994,5,0.00969202722189928,Preprocessor1_Model16
27,35,rmse,standard,0.47924312189859763,5,0.015760962753549955,Preprocessor1_Model16
27,35,rsq,standard,0.6941567417292202,5,0.018195548284606282,Preprocessor1_Model16
8,14,mae,standard,0.3586354241555654,5,0.00834424714406508,Preprocessor1_Model17
8,14,rmse,standard,0.46110918871948603,5,0.015430804235082071,Preprocessor1_Model17
8,14,rsq,standard,0.7442997055336558,5,0.018118069569321823,Preprocessor1_Model17
10,20,mae,standard,0.35806916059859617,5,0.009762167451154592,Preprocessor1_Model18
10,20,rmse,standard,0.46313968036208203,5,0.016570091037320402,Preprocessor1_Model18
10,20,rsq,standard,0.7334183395494803,5,0.01917517585822323,Preprocessor1_Model18
20,40,mae,standard,0.3791849407973646,5,0.010738408868893223,Preprocessor1_Model19
20,40,rmse,standard,0.49056240717464333,5,0.016758130819309013,Preprocessor1_Model19
20,40,rsq,standard,0.6815055586274612,5,0.020179040581544457,Preprocessor1_Model19
37,5,mae,standard,0.2772389775639284,5,0.007442943405451871,Preprocessor1_Model20
37,5,rmse,standard,0.3825609998543339,5,0.014506240478249551,Preprocessor1_Model20
37,5,rsq,standard,0.803621387326964,5,0.01223093300379216,Preprocessor1_Model20
15,2,mae,standard,0.28913587235321647,5,0.009399544312091833,Preprocessor1_Model21
15,2,rmse,standard,0.39198592055011594,5,0.016650750669655306,Preprocessor1_Model21
15,2,rsq,standard,0.7981562600944618,5,0.015295236520717017,Preprocessor1_Model21
18,31,mae,standard,0.3659705614846415,5,0.010346180611570735,Preprocessor1_Model22
18,31,rmse,standard,0.47527925746965816,5,0.016574376616582075,Preprocessor1_Model22
18,31,rsq,standard,0.7031117443160206,5,0.019364282728345294,Preprocessor1_Model22
13,31,mae,standard,0.3720490445941465,5,0.010477772884540016,Preprocessor1_Model23
13,31,rmse,standard,0.4803940004874354,5,0.016852327776001593,Preprocessor1_Model23
13,31,rsq,standard,0.7027884454182243,5,0.020355049341015962,Preprocessor1_Model23
16,26,mae,standard,0.3571225438266989,5,0.010515302727742483,Preprocessor1_Model24
16,26,rmse,standard,0.46468305784502534,5,0.016861317176735488,Preprocessor1_Model24
16,26,rsq,standard,0.7182656981591843,5,0.019294541014580363,Preprocessor1_Model24
33,17,mae,standard,0.3202230486818561,5,0.008131907477432532,Preprocessor1_Model25
33,17,rmse,standard,0.42550008132339256,5,0.014981396808952361,Preprocessor1_Model25
33,17,rsq,standard,0.7589913049470387,5,0.014465089057845954,Preprocessor1_Model25
8,25,mae,standard,0.3816240128489764,5,0.008762318846010267,Preprocessor1_Model26
8,25,rmse,standard,0.4872613634391231,5,0.015276899346732088,Preprocessor1_Model26
8,25,rsq,standard,0.7153572198653105,5,0.019325481878459314,Preprocessor1_Model26
10,12,mae,standard,0.3382337413128703,5,0.009725558575802366,Preprocessor1_Model27
10,12,rmse,standard,0.44150798851284734,5,0.016758634033362543,Preprocessor1_Model27
